Date/Time,Latitude,Longitude,Pressure,Speed,Stage
(UTC},(ON},(OW},(mb},(kt},
16 / 0600,13.7,45.8,1013,25,low
16 / 1200,13.7,47.4,1010,25,II
16 / 1800,13.6,49,1009,25,II
17 / 0000,13.6,50.6,1010,25,II
17 / 0600,13.4,52,1008,25,tropical depression
17 / 1200,13.1,53.4,1008,30,II
17 / 1800,13,55,1004,35,tropical storm
18 / 0000,13,56.6,1003,40,II
18 / 0600,13,58.4,1004,40,II
18 / 1000,13.1,59.6,1004,40,II
18 / 1200,13.1,60.3,1004,40,II
18 / 1500,13.2,61.2,1004,40,II
18 / 1800,13.2,62.2,1005,35,II
19 / 0000,13.4,64,1005,35,II
19 / 0600,13.5,65.7,1005,35,II
19 / 1200,13.7,67.5,1006,30,tropical depression
19 / 1800,13.8,69.2,1007,30,tropical wave
20 I 0000,14,71,1007,30,II
20 I 0600,14.2,72.9,1007,30,II
20 I 1200,14.4,75,1006,30,II
20 / 1800,14.7,76.8,1007,30,II
21 / 0000,15.1,78.6,1007,25,II
21 / 0600,15.7,80.5,1008,25,II
21 / 1200,16.4,82.5,1008,25,II
21 / 1800,17.3,84.6,1008,25,II
22 / 0000,18,86.4,1008,25,II
22 I 0600,18.6,87.8,1009,25,II
22 I 1200,19.4,88.8,1010,25,II
22 / 1800,20,89.7,1010,25,low
23 / 0000,20.5,90.7,1009,25,II
23 / 0600,20.9,91.6,1008,25,II
23 / 1200,21.4,92.3,1006,30,tropical depression
23 / 1800,21.6,92.4,1005,35,tropical storm
24 I 0000,22,92.5,1003,40,II
24 I 0600,22.8,92.6,997,50,II
24 I 1200,23.7,93.1,986,60,II
24 I 1800,24.4,93.6,978,70,hurricane
25 I 0000,25,94.4,973,80,II
25 I 0600,25.6,95.1,966,90,II
25 I 1200,26.3,95.8,949,95,II
25 I 1800,27.1,96.3,943,105,II
26 I 0000,27.8,96.8,941,115,II
26 I 0300,28,96.9,937,115,II
26 I 0600,28.2,97.1,948,105,II
26 I 1200,28.7,97.3,978,65,II
26 I 1800,29,97.5,991,50,tropical storm
27 I 0000,29.2,97.4,995,45,II
27 I 0600,29.3,97.6,998,40,II
27 I 1200,29.1,97.5,998,35,II
27 I 1800,29,97.2,998,35,II
28 I 0000,28.8,96.8,997,35,II
28 I 0600,28.6,96.5,997,40,II
28 I 1200,28.5,96.2,997,40,II
28 I 1800,28.4,95.9,997,40,II
29 I 0000,28.2,95.4,996,40,II
29 I 0600,28.1,95,996,40,II
29 I 1200,28.2,94.6,995,40,II
29 I 1800,28.5,94.2,993,45,II
30 I 0000,28.9,93.8,994,45,II
30 I 0600,29.4,93.6,990,40,II
30 I 0800,29.8,93.5,991,40,II
30 I 1200,30.1,93.4,992,40,II
30 I 1800,30.6,93.1,996,35,II
31 / 0000,31.3,92.6,998,30,tropical depression
31 / 0600,31.9,92.2,999,25,II
31 / 1200,32.5,91.7,1001,20,II
31 / 1800,33.4,90.9,1001,25,II
01 / 0000,34.1,89.6,1000,30,II
01 / 0600,34.9,88.2,1002,30,extratropical
01 / 1200,36,87.1,1002,25,II
01 / 1800,36.5,86.4,1004,20,II
02 I 0000,37.2,85.6,1007,20,II
02 I 0600,37.9,84.9,1009,20,II
02 / 1200,38.2,84.7,1013,15,II

18 / 1000,13.1,59.6,1004,40,landfall on the southern end of Barbados
18 / 1500,13.2,61.2,1004,40,landfall on St. Vincent
26 I 0300,28,96.9,937,115,"minimum pressure, maximum winds and landfall on San Jose Island, TX"
26 I 0600,28.2,97.1,948,105,"landfall on the northeast end of Copano Bay, west of Holiday Beach, TX"
30 I 0800,29.8,93.5,991,40,"landfall near Cameron, LA"
